time_scraping,otodom_id,price,title,surface_area,num_of_room,floor,form_of_property,finish_condition,balcony_garden_terrace,parking_space,heating,ad_link,map_link
2024-06-06 01:31:51,2-pokojowe-mieszkanie-35m2-loggia-bezposrednio-ID4qHcz,Zapytaj o cenę,2-pokojowe mieszkanie 35m2 + loggia Bezpośrednio,"35,41 m²",,3/8,pełna własność,do wykończenia,,garaż/miejsce parkingowe,,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-35m2-loggia-bezposrednio-ID4qHcz,"https://www.google.com/maps/@52.172792,20.9941018,12z/data=!10m1!1e1!12b1?source=apiv3&rapsrc=apiv3"
2024-06-06 01:31:56,bezposr-2pok-metro-wilanowska-cena-do-negocjacji-ID4qUMJ,970 000 zł,Bezpośr. 2pok. Metro Wilanowska CENA DO NEGOCJACJI,"48,55 m²",,7/15,pełna własność,do zamieszkania,,garaż/miejsce parkingowe,miejskie,https://www.otodom.pl/pl/oferta/bezposr-2pok-metro-wilanowska-cena-do-negocjacji-ID4qUMJ,"https://www.google.com/maps/@52.1823249,21.0258847,16z/data=!10m1!1e1!12b1?source=apiv3&rapsrc=apiv3"
2024-06-06 01:32:01,2-pokoje-ul-lindego-metro-wawrzyszew-ID4qUHs,629 000 zł,"2 pokoje, ul. Lindego, Metro Wawrzyszew","36,5 m²",,parter/10,pełna własność,do zamieszkania,,,miejskie,https://www.otodom.pl/pl/oferta/2-pokoje-ul-lindego-metro-wawrzyszew-ID4qUHs,"https://www.google.com/maps/@52.2869133,20.9409327,14z/data=!10m1!1e1!12b1?source=apiv3&rapsrc=apiv3"
2024-06-06 01:32:08,piekne-ciche-100m-w-kamienicy-powisle-metro-80m-ID4qM88,2 480 000 zł,"Piękne, ciche 100m w kamienicy. Powiśle metro 80m.","99,69 m²",,3/4,spółdzielcze wł. prawo do lokalu,do zamieszkania,,,miejskie,https://www.otodom.pl/pl/oferta/piekne-ciche-100m-w-kamienicy-powisle-metro-80m-ID4qM88,"https://www.google.com/maps/@52.23805,21.02935,14z/data=!10m1!1e1!12b1?source=apiv3&rapsrc=apiv3"
2024-06-06 01:32:12,niski-czynsz-ip-winda-ID4qWEi,560 000 zł,Niski Czynsz // Ip. // Winda,50 m²,,1/5,,,,garaż/miejsce parkingowe,,https://www.otodom.pl/pl/oferta/niski-czynsz-ip-winda-ID4qWEi,"https://www.google.com/maps/@52.4465078,20.6925219,15z/data=!10m1!1e1!12b1?source=apiv3&rapsrc=apiv3"
2024-06-06 01:32:17,ursus-3-pokoje-60m2-odbior-w-tym-roku-ID4qWE4,819 000 zł,Ursus - 3 pokoje - 60m2 - odbiór w tym roku,60 m²,,1/7,pełna własność,,,garaż/miejsce parkingowe,miejskie,https://www.otodom.pl/pl/oferta/ursus-3-pokoje-60m2-odbior-w-tym-roku-ID4qWE4,"https://www.google.com/maps/@52.201297,20.88994,15z/data=!10m1!1e1!12b1?source=apiv3&rapsrc=apiv3"
2024-06-06 01:32:22,mokotow-60m2-3-pokoje-szybki-termin-odbioru-ID4qWE3,916 000 zł,Mokotów - 60m2 - 3 Pokoje - Szybki Termin Odbioru,60 m²,,1/7,pełna własność,,,garaż/miejsce parkingowe,miejskie,https://www.otodom.pl/pl/oferta/mokotow-60m2-3-pokoje-szybki-termin-odbioru-ID4qWE3,"https://www.google.com/maps/@52.184745,21.04182,15z/data=!10m1!1e1!12b1?source=apiv3&rapsrc=apiv3"
2024-06-06 01:32:26,dwa-pokoje-48m2-taras-blisko-tramwaju-ID4qWDZ,719 000 zł,Dwa pokoje - 48m2 + taras - blisko tramwaju,48 m²,,3/3,,do zamieszkania,,,,https://www.otodom.pl/pl/oferta/dwa-pokoje-48m2-taras-blisko-tramwaju-ID4qWDZ,"https://www.google.com/maps/@52.340755,20.94534,15z/data=!10m1!1e1!12b1?source=apiv3&rapsrc=apiv3"
2024-06-06 01:32:31,targowek-3-pokoje-metro-tramwaj-autobus-ID4qWDX,863 000 zł,"Targówek - 3 pokoje - metro,tramwaj, autobus",64 m²,,1/7,pełna własność,,,garaż/miejsce parkingowe,miejskie,https://www.otodom.pl/pl/oferta/targowek-3-pokoje-metro-tramwaj-autobus-ID4qWDX,"https://www.google.com/maps/@52.283599,21.02555,15z/data=!10m1!1e1!12b1?source=apiv3&rapsrc=apiv3"
2024-06-06 01:32:35,kawalerka-harmonogram-30-70-miejsce-postojowe-ID4qrMV,499 000 zł,Kawalerka - harmonogram 30/70 - miejsce postojowe,"32,33 m²",,parter,,do wykończenia,,garaż/miejsce parkingowe,miejskie,https://www.otodom.pl/pl/oferta/kawalerka-harmonogram-30-70-miejsce-postojowe-ID4qrMV,"https://www.google.com/maps/@52.2264543,20.8897865,14z/data=!10m1!1e1!12b1?source=apiv3&rapsrc=apiv3"
2024-06-06 01:32:40,perelka-po-generalnym-remoncie-na-muranowie-ID4qWDF,735 000 zł,Perełka po generalnym remoncie na Muranowie !,31 m²,,3/3,pełna własność,,,,miejskie,https://www.otodom.pl/pl/oferta/perelka-po-generalnym-remoncie-na-muranowie-ID4qWDF,"https://www.google.com/maps/@52.243594,20.9908,15z/data=!10m1!1e1!12b1?source=apiv3&rapsrc=apiv3"
2024-06-06 01:32:45,3-pokoje-super-rozklad-metro-rondo-daszynskiego-ID4qHL1,1 150 000 zł,"3 pokoje, super rozkład, Metro Rondo Daszyńskiego","64,5 m²",,1/4,pełna własność,do zamieszkania,,garaż/miejsce parkingowe,miejskie,https://www.otodom.pl/pl/oferta/3-pokoje-super-rozklad-metro-rondo-daszynskiego-ID4qHL1,"https://www.google.com/maps/@52.2284792,20.9747103,14z/data=!10m1!1e1!12b1?source=apiv3&rapsrc=apiv3"
2024-06-06 01:32:49,ul-anielewicza-50m2-dwie-kawalerki-negocjacja-ID4qSzR,890 000 zł,"ul. Anielewicza, 50m2, Dwie Kawalerki, Negocjacja","49,09 m²",,,,,,,,https://www.otodom.pl/pl/oferta/ul-anielewicza-50m2-dwie-kawalerki-negocjacja-ID4qSzR,"https://www.google.com/maps/@52.24714,20.98712,15z/data=!10m1!1e1!12b1?source=apiv3&rapsrc=apiv3"
2024-06-06 01:32:53,sprzedam-3-pokojowe-mieszkanie-ogrod-na-dachu-ID4qrMc,769 000 zł,SPRZEDAM- 3-pokojowe mieszkanie- OGRÓD na dachu,"56,81 m²",,3/3,pełna własność,do zamieszkania,,,kotłownia,https://www.otodom.pl/pl/oferta/sprzedam-3-pokojowe-mieszkanie-ogrod-na-dachu-ID4qrMc,"https://www.google.com/maps/@52.1832375,20.8180282,14z/data=!10m1!1e1!12b1?source=apiv3&rapsrc=apiv3"
2024-06-06 01:32:58,jasne-38-m2-spokojne-i-zielone-osiedle-obrzezna-ID4qAig,847 000 zł,"Jasne 38 m2, spokojne i zielone osiedle, Obrzeżna","38,53 m²",,2/7,pełna własność,do zamieszkania,,garaż/miejsce parkingowe,miejskie,https://www.otodom.pl/pl/oferta/jasne-38-m2-spokojne-i-zielone-osiedle-obrzezna-ID4qAig,"https://www.google.com/maps/@52.1710039,20.996002,14z/data=!10m1!1e1!12b1?source=apiv3&rapsrc=apiv3"
2024-06-06 01:33:03,okazja-3-4-lub-nawet-5-pokojowe-mieszkanie-ID4qWDa,1 400 000 zł,"Okazja! 3-,4-, lub nawet 5-pokojowe mieszkanie",116 m²,,7/11,pełna własność,do zamieszkania,,garaż/miejsce parkingowe,miejskie,https://www.otodom.pl/pl/oferta/okazja-3-4-lub-nawet-5-pokojowe-mieszkanie-ID4qWDa,"https://www.google.com/maps/@52.13633,21.04971,12z/data=!10m1!1e1!12b1?source=apiv3&rapsrc=apiv3"
2024-06-06 01:33:08,okazja-3-4-lub-nawet-5-pokojowe-mieszkanie-ID4qWD9,1 400 000 zł,"Okazja! 3-,4-, lub nawet 5-pokojowe mieszkanie",116 m²,,7/11,pełna własność,do zamieszkania,,garaż/miejsce parkingowe,miejskie,https://www.otodom.pl/pl/oferta/okazja-3-4-lub-nawet-5-pokojowe-mieszkanie-ID4qWD9,"https://www.google.com/maps/@52.13633,21.04971,12z/data=!10m1!1e1!12b1?source=apiv3&rapsrc=apiv3"
2024-06-06 01:33:13,nowa-kawalerka-na-sprzedaz-parking-ID4qWD0,630 000 zł,Nowa Kawalerka na sprzedaż + parking,"27,49 m²",,2/8,,do zamieszkania,,garaż/miejsce parkingowe,,https://www.otodom.pl/pl/oferta/nowa-kawalerka-na-sprzedaz-parking-ID4qWD0,"https://www.google.com/maps/@52.25644,21.05072,15z/data=!10m1!1e1!12b1?source=apiv3&rapsrc=apiv3"
2024-06-06 01:33:17,2-pokojowy-apartament-na-mokotowie-ID4qWCX,949 000 zł,2 pokojowy Apartament na Mokotowie,"44,97 m²",,1/8,pełna własność,do zamieszkania,,,miejskie,https://www.otodom.pl/pl/oferta/2-pokojowy-apartament-na-mokotowie-ID4qWCX,"https://www.google.com/maps/@52.1843537,20.9934994,12z/data=!10m1!1e1!12b1?source=apiv3&rapsrc=apiv3"
2024-06-06 01:33:22,mieszkanie-w-kamienicy-na-powislu-przy-parku-ID4qWCV,1 590 000 zł,Mieszkanie w Kamienicy na Powiślu Przy Parku,"63,12 m²",,3/4,pełna własność,do zamieszkania,,,miejskie,https://www.otodom.pl/pl/oferta/mieszkanie-w-kamienicy-na-powislu-przy-parku-ID4qWCV,"https://www.google.com/maps/@52.2267432,21.0392802,12z/data=!10m1!1e1!12b1?source=apiv3&rapsrc=apiv3"
2024-06-06 01:33:27,6-pokojowy-apartament-na-sadybie-ID4qWCU,3 250 000 zł,6 -pokojowy Apartament na Sadybie,157 m²,,2/5,pełna własność,do zamieszkania,,garaż/miejsce parkingowe,miejskie,https://www.otodom.pl/pl/oferta/6-pokojowy-apartament-na-sadybie-ID4qWCU,"https://www.google.com/maps/@52.1875982,21.0582951,12z/data=!10m1!1e1!12b1?source=apiv3&rapsrc=apiv3"
2024-06-06 01:33:31,mieszkanie-2-poziomowe-4-pokoje-z-ogrodkiem-ID4pMLz,829 000 zł,"Mieszkanie 2 poziomowe, 4 pokoje, z ogródkiem.",92 m²,,1/2,pełna własność,do zamieszkania,,garaż/miejsce parkingowe,gazowe,https://www.otodom.pl/pl/oferta/mieszkanie-2-poziomowe-4-pokoje-z-ogrodkiem-ID4pMLz,"https://www.google.com/maps/@52.3442482,21.1714312,14z/data=!10m1!1e1!12b1?source=apiv3&rapsrc=apiv3"
2024-06-06 01:33:36,centrum-jozefowa-przy-pkp-balkon-cicho-zielono-ID4qOuJ,749 000 zł,"Centrum Józefowa przy PKP, balkon,CICHO,zielono!!",75 m²,,2/2,pełna własność,do zamieszkania,,garaż/miejsce parkingowe,miejskie,https://www.otodom.pl/pl/oferta/centrum-jozefowa-przy-pkp-balkon-cicho-zielono-ID4qOuJ,"https://www.google.com/maps/@52.132022,21.2318379,16z/data=!10m1!1e1!12b1?source=apiv3&rapsrc=apiv3"
2024-06-06 01:33:40,piekne-dwupokojowe-mieszkanie-blisko-okecia-i-wum-ID4qWCa,849 000 zł,Piękne dwupokojowe mieszkanie blisko Okęcia i Wum!,"54,3 m²",,3/3,,do zamieszkania,,garaż/miejsce parkingowe,miejskie,https://www.otodom.pl/pl/oferta/piekne-dwupokojowe-mieszkanie-blisko-okecia-i-wum-ID4qWCa,"https://www.google.com/maps/@52.1831185,20.9769772,15z/data=!10m1!1e1!12b1?source=apiv3&rapsrc=apiv3"
2024-06-06 01:33:45,przytulne-mieszkanie-po-remoncie-generalnym-ID4qM6F,610 000 zł,Przytulne mieszkanie po remoncie generalnym,"36,1 m²",,6/6,pełna własność,do zamieszkania,,,miejskie,https://www.otodom.pl/pl/oferta/przytulne-mieszkanie-po-remoncie-generalnym-ID4qM6F,"https://www.google.com/maps/@52.2418781,21.1243178,14z/data=!10m1!1e1!12b1?source=apiv3&rapsrc=apiv3"
2024-06-06 01:33:50,3-pokojowe-mieszkanie-w-legionowie-ID4qWC1,630 000 zł,3 pokojowe mieszkanie w Legionowie,"60,35 m²",,parter/3,spółdzielcze wł. prawo do lokalu,do zamieszkania,,,miejskie,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-w-legionowie-ID4qWC1,"https://www.google.com/maps/@52.39003,20.92475,12z/data=!10m1!1e1!12b1?source=apiv3&rapsrc=apiv3"
2024-06-06 01:33:55,3-pokojowe-mieszkanie-w-pruszkowie-prusa-35a-ID4qrLG,897 000 zł,"3 Pokojowe Mieszkanie w Pruszkowie, Prusa 35A",73 m²,,1/5,,do zamieszkania,,garaż/miejsce parkingowe,miejskie,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-w-pruszkowie-prusa-35a-ID4qrLG,"https://www.google.com/maps/@52.1613057,20.8046675,16z/data=!10m1!1e1!12b1?source=apiv3&rapsrc=apiv3"
2024-06-06 01:33:59,bezposrednio-wysoki-standard-ostatnie-pietro-ID4qlfL,1 790 000 zł,Bezpośrednio / Wysoki Standard / Ostatnie Piętro,"71,63 m²",,5/5,pełna własność,do zamieszkania,,garaż/miejsce parkingowe,miejskie,https://www.otodom.pl/pl/oferta/bezposrednio-wysoki-standard-ostatnie-pietro-ID4qlfL,"https://www.google.com/maps/@52.256687,20.964648,16z/data=!10m1!1e1!12b1?source=apiv3&rapsrc=apiv3"
2024-06-06 01:34:04,mieszkanie-5-pok-121m-z-ogrodkiem-2-parkingi-ID4ozVN,940 000 zł,"Mieszkanie 5 pok. 121m z ogródkiem, 2 parkingi",121 m²,,1/2,pełna własność,do wykończenia,,garaż/miejsce parkingowe,gazowe,https://www.otodom.pl/pl/oferta/mieszkanie-5-pok-121m-z-ogrodkiem-2-parkingi-ID4ozVN,"https://www.google.com/maps/@52.3287247,21.1718237,16z/data=!10m1!1e1!12b1?source=apiv3&rapsrc=apiv3"
2024-06-06 01:34:09,m-66m2-zielone-pluca-warszawy-ID4qlxO,850 000 zł,"M 66m2 ""zielone płuca Warszawy""","66,05 m²",,1/3,pełna własność,do zamieszkania,,garaż/miejsce parkingowe,miejskie,https://www.otodom.pl/pl/oferta/m-66m2-zielone-pluca-warszawy-ID4qlxO,"https://www.google.com/maps/@52.2455729,21.1885127,14z/data=!10m1!1e1!12b1?source=apiv3&rapsrc=apiv3"
2024-06-06 01:34:14,dwupokojowe-mieszkanie-na-brodnie-ID4qlfH,559 000 zł,Dwupokojowe mieszkanie na Bródnie.,"33,8 m²",,4/6,pełna własność,do wykończenia,,garaż/miejsce parkingowe,miejskie,https://www.otodom.pl/pl/oferta/dwupokojowe-mieszkanie-na-brodnie-ID4qlfH,"https://www.google.com/maps/@52.2902294,21.0178627,14z/data=!10m1!1e1!12b1?source=apiv3&rapsrc=apiv3"
2024-06-06 01:34:18,oryginalne-4-5-m-m-52-6m-w-super-lokalizacji-ID4q9x0,990 000 zł,"Oryginalne (4,5 m) M 52,6m w super lokalizacji!","52,6 m²",,4/4,pełna własność,do zamieszkania,,garaż/miejsce parkingowe,gazowe,https://www.otodom.pl/pl/oferta/oryginalne-4-5-m-m-52-6m-w-super-lokalizacji-ID4q9x0,"https://www.google.com/maps/@52.3040703,20.9304152,16z/data=!10m1!1e1!12b1?source=apiv3&rapsrc=apiv3"
2024-06-06 01:34:23,2-pokojowe-mieszkanie-50m2-ogrodek-ID4myiP,556 160 zł,2-pokojowe mieszkanie 50m2 + ogródek,"50,56 m²",,parter/3,pełna własność,do wykończenia,,garaż/miejsce parkingowe,,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-50m2-ogrodek-ID4myiP,"https://www.google.com/maps/@52.0874604,20.8437038,12z/data=!10m1!1e1!12b1?source=apiv3&rapsrc=apiv3"
2024-06-06 01:34:28,narozne-3-pokojowe-mieszkanie-z-duzym-87m-tarasem-ID4qWBF,1 007 130 zł,Narożne 3 pokojowe mieszkanie z dużym 87m tarasem!,"56,9 m²",,5/6,pełna własność,do wykończenia,,garaż/miejsce parkingowe,miejskie,https://www.otodom.pl/pl/oferta/narozne-3-pokojowe-mieszkanie-z-duzym-87m-tarasem-ID4qWBF,"https://www.google.com/maps/@52.1975313,20.9397861,16z/data=!10m1!1e1!12b1?source=apiv3&rapsrc=apiv3"
2024-06-06 01:34:33,2-pok-mieszkanie-na-woli-przy-ul-j-kazimierza-ID4qwNN,1 092 000 zł,2-pok. mieszkanie na Woli przy ul. J. Kazimierza,"57,1 m²",,2/7,pełna własność,do zamieszkania,,garaż/miejsce parkingowe,miejskie,https://www.otodom.pl/pl/oferta/2-pok-mieszkanie-na-woli-przy-ul-j-kazimierza-ID4qwNN,"https://www.google.com/maps/@52.2232,20.938849,16z/data=!10m1!1e1!12b1?source=apiv3&rapsrc=apiv3"
2024-06-06 01:34:37,rakowiec-2-pok-balkon-warto-ID4qAc4,690 000 zł,Rakowiec 2 Pok Balkon Warto !,"45,7 m²",,3/7,pełna własność,do remontu,,,miejskie,https://www.otodom.pl/pl/oferta/rakowiec-2-pok-balkon-warto-ID4qAc4,"https://www.google.com/maps/@52.206737,20.97436,15z/data=!10m1!1e1!12b1?source=apiv3&rapsrc=apiv3"
2024-06-06 01:34:42,3-pokoje-kolej-miejska-zielona-okolica-ID4qNBy,906 000 zł,3-Pokoje | Kolej miejska | Zielona okolica,"59,3 m²",,1/3,pełna własność,do zamieszkania,,garaż/miejsce parkingowe,miejskie,https://www.otodom.pl/pl/oferta/3-pokoje-kolej-miejska-zielona-okolica-ID4qNBy,"https://www.google.com/maps/@52.2066464,20.8687963,12z/data=!10m1!1e1!12b1?source=apiv3&rapsrc=apiv3"
2024-06-06 01:34:47,3-pokoje-69m2-bez-prwizji-bez-pcc-marki-ID4qWB9,827 400 zł,3 Pokoje| 69M2| Bez Prwizji| Bez Pcc| Marki,"68,95 m²",,2/4,pełna własność,,,garaż/miejsce parkingowe,,https://www.otodom.pl/pl/oferta/3-pokoje-69m2-bez-prwizji-bez-pcc-marki-ID4qWB9,"https://www.google.com/maps/@52.30703,21.10435,15z/data=!10m1!1e1!12b1?source=apiv3&rapsrc=apiv3"
